Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,U.s. political affiliation,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6560c26f68ea6af061354ec3,55d4a65558c35800053dbeb1,APPROVED,2023-11-24T15:34:11.966000Z,2023-11-24T15:40:47.297000Z,2023-11-24T15:40:47.942000Z,2023-11-24T15:40:47.866836Z,396.0,C871QPIG,819,Democrat,English,37,Male,White,United States,United States,United States,English,No,Full-Time
6560c34aab32451f86ca8b16,5eab19e1b72f750cd7413764,APPROVED,2023-11-24T15:37:53.582000Z,2023-11-24T15:41:58.121000Z,2023-11-24T15:41:58.723000Z,2023-11-24T15:41:58.649162Z,245.0,C871QPIG,3071,Democrat,English,42,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
6560c3f6f5809dea6267693b,6547f36b7bb2387e73c654da,APPROVED,2023-11-24T15:40:43.182000Z,2023-11-24T15:53:14.346000Z,2023-11-24T15:53:14.977000Z,2023-11-24T15:53:14.919719Z,752.0,C871QPIG,4,Democrat,English,58,Male,White,United States,United States,United States,English,Yes,Unemployed (and job seeking)
6561f7147bfc0a9f64631fd5,5fdf213eeae543727a6624e3,APPROVED,2023-11-25T13:31:50.909000Z,2023-11-25T13:47:39.425000Z,2023-11-25T13:47:39.971000Z,2023-11-25T13:47:39.904213Z,949.0,C871QPIG,523,Democrat,English,33,Male,Mixed,United States,United States,United States,English,No,Unemployed (and job seeking)
6561f79244e586592bac10a0,63f926aa161554108cd7cd97,APPROVED,2023-11-25T13:33:06.548000Z,2023-11-25T14:01:20.195000Z,2023-11-25T14:01:20.795000Z,2023-11-25T14:01:20.744061Z,1694.0,C871QPIG,504,Democrat,English,49,Female,Other,DATA_EXPIRED,United States,United States,English,No,Full-Time
6561f7930fdcc82ba89faf23,639fdcf5efa9e98ed809d0df,AWAITING REVIEW,2023-11-25T13:33:12.503000Z,2023-11-25T13:38:47.948000Z,,2023-11-25T13:38:48.398703Z,336.0,NOCODE,2127,Democrat,English,71,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6561f7f200ee45c43b634f59,629288376055ad7fb05bbf77,APPROVED,2023-11-25T13:34:53.906000Z,2023-11-25T13:46:13.828000Z,2023-11-25T13:46:14.326000Z,2023-11-25T13:46:14.263172Z,680.0,C871QPIG,1950,Democrat,English,48,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6561f832d7e6b4410a060373,5cbe00898f939c0017c0b9d8,APPROVED,2023-11-25T13:35:51.365000Z,2023-11-25T13:43:00.491000Z,2023-11-25T13:43:00.995000Z,2023-11-25T13:43:00.940131Z,430.0,C871QPIG,4705,Democrat,English,57,Male,White,United States,United States,United States,English,No,Part-Time
6561f8406f120c36190b348a,5d7f79e7e41ee70018d9164a,APPROVED,2023-11-25T13:36:00.054000Z,2023-11-25T13:46:48.655000Z,2023-11-25T13:46:49.246000Z,2023-11-25T13:46:49.146071Z,649.0,C871QPIG,3366,Democrat,English,40,Female,White,United States,United States,United States,English,No,Full-Time
6561f945dcc762b27a3556b3,60ef2700e476748689a999f7,APPROVED,2023-11-25T13:40:24.671000Z,2023-11-25T13:44:40.284000Z,2023-11-25T13:44:40.745000Z,2023-11-25T13:44:40.700919Z,256.0,C871QPIG,4078,Democrat,English,31,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking)
6561f956aef250c8318fc3d1,594fb08ea186be000114d023,APPROVED,2023-11-25T13:40:45.611000Z,2023-11-25T13:49:05.156000Z,2023-11-25T13:49:05.666000Z,2023-11-25T13:49:05.619469Z,500.0,C871QPIG,1262,Democrat,English,53,Male,White,United States,United States,United States,English,No,Full-Time
6561f9c300bcd0bd8254259d,55a43c83fdf99b02ff6cb0aa,APPROVED,2023-11-25T13:42:30.980000Z,2023-11-25T13:54:03.902000Z,2023-11-25T13:54:04.552000Z,2023-11-25T13:54:04.507822Z,693.0,C871QPIG,369,Democrat,English,43,Male,White,United States,United States,United States,English,No,Other
6561f9dbf8cdee3b9eb94fab,6557ae6a9c99c1c63fdf2ab4,APPROVED,2023-11-25T13:43:02.991000Z,2023-11-25T14:05:08.499000Z,2023-11-25T14:05:08.989000Z,2023-11-25T14:05:08.944074Z,1326.0,C871QPIG,8,Democrat,English,30,Male,Black,Ghana,United States,United States,English,Yes,Full-Time
6561fa14dadb056940129c44,62dea723c6db0370fd6c8229,APPROVED,2023-11-25T13:43:54.420000Z,2023-11-25T13:51:10.206000Z,2023-11-25T13:51:10.816000Z,2023-11-25T13:51:10.769776Z,436.0,C871QPIG,2307,Democrat,English,61,Female,White,United States,United States,United States,English,No,Part-Time
6561fabaaa8d3b4998ad08ce,63d13f2f59ef764f641406dd,APPROVED,2023-11-25T13:46:34.862000Z,2023-11-25T13:54:14.245000Z,2023-11-25T13:54:14.746000Z,2023-11-25T13:54:14.683982Z,460.0,C871QPIG,435,Democrat,English,27,Male,White,United States,United States,United States,English,Yes,Full-Time
6561facbab3cd26b761eb878,5fa1636a77c875235bd8e1f6,APPROVED,2023-11-25T13:46:58.659000Z,2023-11-25T13:52:22.873000Z,2023-11-25T13:52:23.419000Z,2023-11-25T13:52:23.358991Z,325.0,C871QPIG,3065,Democrat,English,28,Male,White,United States,United States,United States,English,No,Full-Time
6561fad0a2d285a69c85432f,630d38824bad7ea1700632d0,APPROVED,2023-11-25T13:47:01.291000Z,2023-11-25T14:09:02.636000Z,2023-11-25T14:09:03.278000Z,2023-11-25T14:09:03.229008Z,1322.0,C871QPIG,1239,Democrat,English,29,Male,Black,United States,United States,United States,English,Yes,Full-Time
6561fadb21fef6a134355acb,5ba184ad35768a0001437bdc,APPROVED,2023-11-25T13:47:11.040000Z,2023-11-25T13:52:21.827000Z,2023-11-25T13:52:22.347000Z,2023-11-25T13:52:22.283641Z,311.0,C871QPIG,1683,Democrat,English,31,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
6561fadda0dc5c7c62ca8397,5e7b9a17aa127708ed804d16,APPROVED,2023-11-25T13:47:13.329000Z,2023-11-25T13:53:05.372000Z,2023-11-25T13:53:05.931000Z,2023-11-25T13:53:05.870227Z,353.0,C871QPIG,3506,Democrat,English,37,Female,White,United States,United States,United States,English,No,Part-Time
6561fbdef391ccff57129fd4,60abdc82ec2d1e548b986424,APPROVED,2023-11-25T13:51:30.179000Z,2023-11-25T13:58:32.788000Z,2023-11-25T13:58:33.247000Z,2023-11-25T13:58:33.191163Z,423.0,C871QPIG,2932,Democrat,English,61,Male,White,United States,United States,United States,English,No,Full-Time
6561fbec21fef6a134355aee,5f4d07b4fae27694de8f5af1,APPROVED,2023-11-25T13:51:44.231000Z,2023-11-25T13:58:28.938000Z,2023-11-25T13:58:29.513000Z,2023-11-25T13:58:29.457591Z,405.0,C871QPIG,3673,Democrat,English,57,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6561fc35ec589691ac9b10c3,5de197e923a5111f4fda41de,APPROVED,2023-11-25T13:53:02.239000Z,2023-11-25T14:00:25.642000Z,2023-11-25T14:00:31.100000Z,2023-11-25T14:00:26.028317Z,444.0,C871QPIG,3130,Democrat,English,66,Male,White,United States,United States,United States,English,No,Full-Time
6561fcccbcfffd5c576639d9,6561dce662de41372375dde8,APPROVED,2023-11-25T13:55:37.047000Z,2023-11-25T14:00:54.338000Z,2023-11-25T14:00:54.918000Z,2023-11-25T14:00:54.855547Z,318.0,C871QPIG,0,Democrat,English,29,Female,Asian,United States,United States,United States,English,No,Part-Time
6561fcdd8ba47d32520bc026,60fdd5732c9e665b27eac15e,APPROVED,2023-11-25T13:55:46.599000Z,2023-11-25T14:00:25.009000Z,2023-11-25T14:00:27.412000Z,2023-11-25T14:00:25.478544Z,279.0,C871QPIG,4031,Democrat,English,32,Male,White,United States,United States,United States,English,No,Full-Time
6561fcde871456e2ed01927d,6561448bfe82a64e2b852d32,APPROVED,2023-11-25T13:56:26.537000Z,2023-11-25T14:03:21.308000Z,2023-11-25T14:03:21.929000Z,2023-11-25T14:03:21.861592Z,415.0,C871QPIG,2,Democrat,English,35,Female,Black,United States,United States,United States,English,No,Full-Time
6561fcf0031dcaaf59ff0842,5a6d3a19e6cc4a0001b6c47a,APPROVED,2023-11-25T13:56:12.807000Z,2023-11-25T14:03:56.706000Z,2023-11-25T14:03:57.236000Z,2023-11-25T14:03:57.191508Z,464.0,C871QPIG,6124,Democrat,English,55,Male,White,United States,United States,United States,English,No,Full-Time
6561fd61a2bb84402c3d74e0,629a7466cebc9523d66d4d8e,APPROVED,2023-11-25T13:57:57.938000Z,2023-11-25T14:02:22.139000Z,2023-11-25T14:02:22.655000Z,2023-11-25T14:02:22.607016Z,265.0,C871QPIG,250,Democrat,English,24,Female,White,United States,United States,United States,English,Yes,Part-Time
6561fda67bfc0a9f646320bd,6140d7cdf9bc6016591c2878,APPROVED,2023-11-25T14:01:14.550000Z,2023-11-25T14:15:18.045000Z,2023-11-25T14:15:18.519000Z,2023-11-25T14:15:18.475298Z,844.0,C871QPIG,3204,Democrat,English,46,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6561fdc47e80b4b7fe95a89d,62c44d672834a5c5ce7362f1,APPROVED,2023-11-25T13:59:42.322000Z,2023-11-25T14:07:39.520000Z,2023-11-25T14:07:42.679000Z,2023-11-25T14:07:40.123537Z,478.0,C871QPIG,1987,Democrat,English,61,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6561fddae25a2dfe37ff0f8a,5588b04ffdf99b7a91e75ddb,APPROVED,2023-11-25T13:59:59.817000Z,2023-11-25T14:16:32.693000Z,2023-11-25T14:16:33.275000Z,2023-11-25T14:16:33.211522Z,993.0,C871QPIG,4095,Democrat,English,56,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6561fddf2ee7c9362b2a2023,55eb04337480920010aa9e0d,APPROVED,2023-11-25T14:00:02.290000Z,2023-11-25T14:05:05.542000Z,2023-11-25T14:05:06.073000Z,2023-11-25T14:05:06.029131Z,304.0,C871QPIG,4754,Democrat,English,38,Male,White,United States,United States,United States,English,No,DATA_EXPIRED
6561fde2723ed05c242d76c9,5d350282cec7150015d16494,APPROVED,2023-11-25T14:00:04.609000Z,2023-11-25T14:27:13.038000Z,2023-11-25T14:27:13.645000Z,2023-11-25T14:27:13.583082Z,1629.0,C871QPIG,239,Democrat,English,38,Male,White,United States,United States,United States,English,No,Part-Time
6561fde4005d2fc66901910e,5a6b6f06e6cc4a0001b6a38d,APPROVED,2023-11-25T14:00:10.010000Z,2023-11-25T14:12:22.583000Z,2023-11-25T14:12:23.091000Z,2023-11-25T14:12:23.033626Z,733.0,C871QPIG,635,Democrat,English,27,Male,Black,United States,United States,United States,English,No,Full-Time
6561fe196e87c03638f8fae8,5f489766dbc4a2364c0f4f93,APPROVED,2023-11-25T14:01:01.727000Z,2023-11-25T14:07:14.661000Z,2023-11-25T14:07:15.115000Z,2023-11-25T14:07:15.053426Z,373.0,C871QPIG,3654,Democrat,English,65,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6561fe342eb5826e9b43f6ee,5d8934dc4c680f00181616f8,APPROVED,2023-11-25T14:03:30.145000Z,2023-11-25T14:12:28.677000Z,2023-11-25T14:12:29.138000Z,2023-11-25T14:12:29.077052Z,539.0,C871QPIG,4454,Democrat,English,36,Female,White,United States,United States,United States,English,Yes,DATA_EXPIRED
6561fe5c2ad0ac5a2118fa4d,571164253d47e80009635a80,APPROVED,2023-11-25T14:02:08.850000Z,2023-11-25T14:14:25.174000Z,2023-11-25T14:14:25.686000Z,2023-11-25T14:14:25.642631Z,737.0,C871QPIG,6173,Democrat,English,77,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6561fe62aa8d3b4998ad0937,6560ca4088f46bdab1f9d352,APPROVED,2023-11-25T14:02:14.145000Z,2023-11-25T14:08:38.677000Z,2023-11-25T14:08:39.166000Z,2023-11-25T14:08:39.123239Z,385.0,C871QPIG,2,Democrat,English,19,Female,Black,United States,United States,United States,English,No,Full-Time
6561fe80f391ccff5712a012,60fd5eb480090422254ed2e6,APPROVED,2023-11-25T14:02:44.880000Z,2023-11-25T14:11:15.375000Z,2023-11-25T14:11:15.886000Z,2023-11-25T14:11:15.826211Z,511.0,C871QPIG,490,Democrat,English,23,Female,White,United States,United States,United States,English,No,Full-Time
6561fec7005d2fc66901912c,5e8ce1a772724409e8ec0404,APPROVED,2023-11-25T14:03:53.616000Z,2023-11-25T14:08:10.265000Z,2023-11-25T14:08:10.816000Z,2023-11-25T14:08:10.752735Z,257.0,C871QPIG,4118,Democrat,"Chinese, English",22,Female,Asian,United States,United States,United States,English,No,Due to start a new job within the next month
6561ff45b9867beb8b820d73,614f58258eaf7063aa888d90,APPROVED,2023-11-25T14:06:03.740000Z,2023-11-25T14:16:27.097000Z,2023-11-25T14:16:27.618000Z,2023-11-25T14:16:27.551916Z,624.0,C871QPIG,2630,Democrat,English,30,Female,Black,United States,United States,United States,English,No,DATA_EXPIRED
6561ff65fed4c2c2e71239dc,5a0f46bb7542890001aa7503,APPROVED,2023-11-25T14:07:04.403000Z,2023-11-25T14:12:55.982000Z,2023-11-25T14:12:56.496000Z,2023-11-25T14:12:56.453323Z,352.0,C871QPIG,197,Democrat,English,38,Male,White,United States,United States,United States,English,No,Other
