Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,U.s. political affiliation,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
65621b8bce16f8d23c1a3c22,5de7c6d448241d73d36ceaef,APPROVED,2023-11-25T16:06:40.401000Z,2023-11-25T16:19:36.279000Z,2023-11-25T16:19:36.851000Z,2023-11-25T16:19:36.789889Z,776.0,C871QPIG,5126,Republican,English,60,Male,Black,United States,United States,United States,English,Yes,Full-Time
65621c62ec32618db6ea06d6,65172a5accd4f7b31d650d6f,APPROVED,2023-11-25T16:10:13.965000Z,2023-11-25T16:16:47.661000Z,2023-11-25T16:16:48.177000Z,2023-11-25T16:16:48.096208Z,394.0,C871QPIG,40,Republican,English,51,Female,Black,United States,United States,United States,English,Yes,Full-Time
65621e6baa9ef60ccbcbf0ad,6318be45a49442eee3a88cb3,APPROVED,2023-11-25T16:18:54.819000Z,2023-11-25T16:26:08.954000Z,2023-11-25T16:26:09.509000Z,2023-11-25T16:26:09.446167Z,435.0,C871QPIG,1974,Republican,English,68,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
65621f3b1232590027aa050c,6111d3aa2e12fb09c474a445,APPROVED,2023-11-25T16:22:24.235000Z,2023-11-25T16:26:02.892000Z,2023-11-25T16:26:03.494000Z,2023-11-25T16:26:03.431693Z,219.0,C871QPIG,3797,Republican,English,37,Female,Asian,United States,United States,United States,English,No,DATA_EXPIRED
65621f6b33b93e2696f0678b,63cedc8a97a0bb604736baea,APPROVED,2023-11-25T16:23:11.645000Z,2023-11-25T16:27:52.325000Z,2023-11-25T16:27:52.868000Z,2023-11-25T16:27:52.795950Z,281.0,C871QPIG,1261,Republican,"English, Spanish",31,Male,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time
656220362d4f1e21cfc7e5c5,64045adff6fa742a6d7f4409,APPROVED,2023-11-25T16:26:35.365000Z,2023-11-25T16:34:45.756000Z,2023-11-25T16:34:46.872000Z,2023-11-25T16:34:46.762892Z,491.0,C871QPIG,884,Republican,English,51,Female,White,Germany,United States,United States,English,No,Part-Time
656220a427dc5d95e0caa26d,610dd74ebf5c4e1977a3e54e,APPROVED,2023-11-25T16:28:25.135000Z,2023-11-25T16:40:28.480000Z,2023-11-25T16:40:29.031000Z,2023-11-25T16:40:28.971104Z,724.0,C871QPIG,3123,Republican,English,69,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
656220d00a29143ccea922d9,63978402e524eebeace93868,APPROVED,2023-11-25T16:29:06.624000Z,2023-11-25T16:36:31.339000Z,2023-11-25T16:36:31.868000Z,2023-11-25T16:36:31.790950Z,445.0,C871QPIG,1884,Republican,English,59,Female,White,United States,United States,United States,English,No,Part-Time
656221368f2aa15b980e58d7,6556c9a04aa50bfb13f2a3f2,APPROVED,2023-11-25T16:31:27.767000Z,2023-11-25T16:39:57.665000Z,2023-11-25T16:39:58.388000Z,2023-11-25T16:39:58.324311Z,510.0,C871QPIG,7,Republican,English,53,Female,White,United States,United States,United States,English,No,Full-Time
6562222c7b0bdeeb9e5a8423,6143e022ec8dfbce17b7e211,APPROVED,2023-11-25T16:34:58.895000Z,2023-11-25T16:41:17.688000Z,2023-11-25T16:41:18.212000Z,2023-11-25T16:41:18.149430Z,379.0,C871QPIG,4667,Republican,English,69,Male,White,United States,United States,United States,English,No,Part-Time
6562225345a26dd419b4ac23,61188057fe5a395476806c12,APPROVED,2023-11-25T16:35:34.700000Z,2023-11-25T16:44:48.571000Z,2023-11-25T16:44:49.298000Z,2023-11-25T16:44:49.243701Z,554.0,C871QPIG,2069,Republican,English,32,Female,White,United States,United States,United States,English,No,Full-Time
656223325c84d167b9422da1,5ec1c41a1f98090e8c119332,APPROVED,2023-11-25T16:39:20.514000Z,2023-11-25T16:46:03.527000Z,2023-11-25T16:46:04.065000Z,2023-11-25T16:46:03.996820Z,404.0,C871QPIG,3794,Republican,English,35,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6562234ef384a25b2ef0681b,647648baa82fb44bb109f367,APPROVED,2023-11-25T16:39:47.955000Z,2023-11-25T16:48:31.173000Z,2023-11-25T16:48:31.710000Z,2023-11-25T16:48:31.636767Z,524.0,C871QPIG,1168,Republican,"Spanish, English",62,Female,White,Cuba,United States,United States,Spanish,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
656223d6281a434ed4e5966f,633f03bb432dc8f74ab3a896,APPROVED,2023-11-25T16:42:04.495000Z,2023-11-25T16:46:46.285000Z,2023-11-25T16:46:46.783000Z,2023-11-25T16:46:46.721006Z,282.0,C871QPIG,2108,Republican,"Spanish, English",38,Male,Other,United States,United States,United States,English,DATA_EXPIRED,Full-Time
656223efdac1c6f8a0ea07f3,60ff1981688229d1e3eb43e9,APPROVED,2023-11-25T16:42:25.900000Z,2023-11-25T16:49:37.100000Z,2023-11-25T16:49:37.622000Z,2023-11-25T16:49:37.557338Z,432.0,C871QPIG,452,Republican,English,58,Female,White,United States,United States,United States,English,No,Full-Time
656224007fcbff9d50f45f7f,5e3461bd8ec4fc0230fef43a,APPROVED,2023-11-25T16:42:44.444000Z,2023-11-25T16:51:10.121000Z,2023-11-25T16:51:10.857000Z,2023-11-25T16:51:10.790757Z,506.0,C871QPIG,1757,Republican,English,75,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6562244a8b1bd5f742709c17,62c31fe0e178fc305009b718,APPROVED,2023-11-25T16:43:58.454000Z,2023-11-25T16:52:29.107000Z,2023-11-25T16:52:29.594000Z,2023-11-25T16:52:29.509206Z,511.0,C871QPIG,2148,Republican,English,33,Male,White,United States,United States,United States,English,No,Full-Time
6562245378ae045713e59beb,64143e269d37d7ec27c8a2a9,APPROVED,2023-11-25T16:44:03.610000Z,2023-11-25T17:01:36.649000Z,2023-11-25T17:01:37.188000Z,2023-11-25T17:01:37.125013Z,1054.0,C871QPIG,1451,Republican,English,34,Male,Black,United States,United States,United States,English,No,Full-Time
656224c42c8222d50a47593a,5bc913d99427200001dd47f5,APPROVED,2023-11-25T16:46:02.628000Z,2023-11-25T16:54:21.172000Z,2023-11-25T16:54:21.769000Z,2023-11-25T16:54:21.704363Z,499.0,C871QPIG,4899,Republican,English,74,Female,White,United States,United States,United States,English,No,Part-Time
6562257ac580f1305d0a2e4f,60ca4cfb5c287146cad0695a,APPROVED,2023-11-25T16:49:02.924000Z,2023-11-25T16:54:08.999000Z,2023-11-25T16:54:09.741000Z,2023-11-25T16:54:09.662482Z,307.0,C871QPIG,5188,Republican,English,39,Male,White,United States,United States,United States,English,No,Full-Time
656225b0163e4c5a24c97a1f,64e36d981d00e7d7c45addc2,APPROVED,2023-11-25T16:49:55.526000Z,2023-11-25T16:54:38.863000Z,2023-11-25T16:54:39.674000Z,2023-11-25T16:54:39.611017Z,284.0,C871QPIG,372,Republican,English,49,Female,White,United States,United States,United States,English,No,Part-Time
