Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
65630a27ed7a09c1aec5b783,5cdc111d8738880001d23c6e,APPROVED,2023-11-26T09:04:39.629000Z,2023-11-26T09:12:56.585000Z,2023-11-26T09:12:57.344000Z,2023-11-26T09:12:57.286327Z,497.0,C871QPIG,896,"English, German, Turkish",30,Male,White,Germany,Germany,Turkey,Turkish,No,Full-Time
65630b57c580f1305d0a4700,650aedaa58b090c87a187d80,APPROVED,2023-11-26T09:09:46.542000Z,2023-11-26T09:17:51.750000Z,2023-11-26T09:17:52.255000Z,2023-11-26T09:17:52.186793Z,486.0,C871QPIG,49,"English, German",22,Male,White,Germany,Germany,Germany,German,No,Other
65630ba9e817db3fa10a46db,63400c1f90bf977fdb7ec941,APPROVED,2023-11-26T09:11:05.332000Z,2023-11-26T09:20:25.124000Z,2023-11-26T09:20:25.764000Z,2023-11-26T09:20:25.701610Z,560.0,C871QPIG,176,"English, German",26,Male,White,United Kingdom,Germany,Germany,English,No,Full-Time
65630dd03999ef1271a17df7,5f14ae1200ee580bf5ace9d6,APPROVED,2023-11-26T09:20:16.268000Z,2023-11-26T09:28:52.670000Z,2023-11-26T09:28:53.227000Z,2023-11-26T09:28:53.162332Z,517.0,C871QPIG,753,"French, English, German",35,Male,White,Switzerland,Germany,Switzerland,French,No,Part-Time
65630dd539993ffa840e7332,58d4ebdec8677b0001a2107b,APPROVED,2023-11-26T09:20:23.517000Z,2023-11-26T09:30:41.993000Z,2023-11-26T09:30:42.477000Z,2023-11-26T09:30:42.415718Z,619.0,C871QPIG,1861,"English, Polish, German",38,Male,White,Germany,Germany,Germany,German,No,Unemployed (and job seeking)
65630def43463427fd171143,65465d19298a36a497508d04,APPROVED,2023-11-26T09:20:52.703000Z,2023-11-26T09:26:01.042000Z,2023-11-26T09:26:01.642000Z,2023-11-26T09:26:01.577497Z,309.0,C871QPIG,29,"English, German",19,Female,Asian,Germany,Germany,Germany,German,Yes,DATA_EXPIRED
65630e11e4e979a116eeec21,64eb4cae55d71c80683a138a,APPROVED,2023-11-26T09:21:21.078000Z,2023-11-26T09:29:52.768000Z,2023-11-26T09:29:53.294000Z,2023-11-26T09:29:53.234474Z,512.0,C871QPIG,14,German,38,Male,White,Poland,Germany,Germany,German,No,Full-Time
65630e55ed7a09c1aec5b7c9,64fdee2b969a06603ae3226d,APPROVED,2023-11-26T09:22:29.711000Z,2023-11-26T09:30:58.176000Z,2023-11-26T09:30:58.780000Z,2023-11-26T09:30:58.704330Z,509.0,C871QPIG,108,"Vietnamese, English, German",21,Male,Asian,Vietnam,Germany,Vietnam,Vietnamese,Yes,Unemployed (and job seeking)
65630e59d1d5261a1559f5a1,627beb0707c13ea6d38b3eaa,APPROVED,2023-11-26T09:22:36.725000Z,2023-11-26T09:28:13.646000Z,2023-11-26T09:28:14.165000Z,2023-11-26T09:28:14.098155Z,337.0,C871QPIG,258,"German, English",27,Female,White,Germany,Germany,Germany,German,Yes,Other
65630ec3e817db3fa10a472d,6550dd36abf6cccaa5bace83,APPROVED,2023-11-26T09:24:19.722000Z,2023-11-26T09:32:31.304000Z,2023-11-26T09:32:31.847000Z,2023-11-26T09:32:31.783923Z,492.0,C871QPIG,21,"English, German, Laotian",22,Male,Asian,Germany,Germany,Germany,German,No,Full-Time
65630f53e859fe9d4d59f470,6526b4db08c36959a00e69c4,APPROVED,2023-11-26T09:26:48.580000Z,2023-11-26T09:51:07.789000Z,2023-11-26T09:51:08.314000Z,2023-11-26T09:51:08.256940Z,1460.0,C871QPIG,52,"English, German, Turkish",39,Male,White,Turkey,Germany,Turkey,Turkish,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
65630f86bbbe0dc4b89aeb32,6516d9bb4dd1c665709ed88a,APPROVED,2023-11-26T09:27:34.937000Z,2023-11-26T09:34:21.918000Z,2023-11-26T09:34:25.482000Z,2023-11-26T09:34:22.416633Z,407.0,C871QPIG,46,"English, German",23,Female,White,Germany,Germany,Germany,German,Yes,Part-Time
