Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Custom study tncs accepted at
65782c0c49def163692be0b6,5f32d5f107d49607c3f6cf7a,APPROVED,2023-12-12T09:48:21.356000Z,2023-12-12T10:21:00.142000Z,2023-12-12T10:21:00.801000Z,2023-12-12T10:21:00.743779Z,1959.0,C1O1B8DE,1010,"English, German, Spanish",40,Female,White,Germany,Germany,Germany,German,No,Full-Time,
65782c32435c55c830edb6b5,63cf5dcd6dbd0452632b58bb,APPROVED,2023-12-12T09:47:30.851000Z,2023-12-12T10:13:00.645000Z,2023-12-12T10:13:04.520000Z,2023-12-12T10:13:01.350964Z,1530.0,C1O1B8DE,480,"English, German, Turkish",24,Male,Mixed,Turkey,Germany,Germany,German,Yes,Part-Time,
65782d73586f1a72f7fd3ec8,6429682ff18d08f9eed7d9e7,APPROVED,2023-12-12T09:52:55.820000Z,2023-12-12T10:24:19.585000Z,2023-12-12T10:24:20.513000Z,2023-12-12T10:24:20.438248Z,1884.0,C1O1B8DE,360,"English, German, Spanish",24,Male,White,Germany,Germany,Germany,German,Yes,Full-Time,
65782dee902f0b82d6ca0471,643c243ff0ef4cb25c20a392,APPROVED,2023-12-12T09:55:00.008000Z,2023-12-12T10:19:12.873000Z,2023-12-12T10:19:13.429000Z,2023-12-12T10:19:13.364650Z,1453.0,C1O1B8DE,50,"English, German",24,Male,White,Germany,Germany,Germany,German,DATA_EXPIRED,DATA_EXPIRED,
65782efd5765fb9ef92e8aa8,64539733186ad1764e4c2b74,APPROVED,2023-12-12T09:59:34.630000Z,2023-12-12T10:32:42.639000Z,2023-12-12T10:32:43.659000Z,2023-12-12T10:32:43.596431Z,1989.0,C1O1B8DE,262,"English, German",28,Female,White,Albania,Germany,Albania,Albanian,No,Full-Time,
65782fb1756f39d162516d62,617082143afa2b9f049f8b3b,APPROVED,2023-12-12T10:02:41.448000Z,2023-12-12T10:40:38.456000Z,2023-12-12T10:40:38.981000Z,2023-12-12T10:40:38.924870Z,2278.0,C1O1B8DE,565,"English, German",35,Male,White,Germany,Germany,Germany,German,No,Full-Time,
65782fda90e61c25aed6f4f0,647e2500ac34cb60b8e1348d,APPROVED,2023-12-12T10:03:06.367000Z,2023-12-12T10:27:26.084000Z,2023-12-12T10:27:26.594000Z,2023-12-12T10:27:26.521980Z,1460.0,C1O1B8DE,319,"German, English",39,Male,White,Germany,Germany,Germany,German,No,Full-Time,
6578310501ca9ac227ffb009,64f1e17e5439f81a8eade6c2,APPROVED,2023-12-12T10:08:09.069000Z,2023-12-12T11:48:18.838000Z,2023-12-12T11:48:19.824000Z,2023-12-12T11:48:19.760766Z,6010.0,C1O1B8DE,98,"Chinese, English, German",26,Female,Asian,China,Germany,China,Chinese,Yes,Unemployed (and job seeking),
6578313d259c2b102ad92fd0,61574c44d4bd510e680f9d7a,APPROVED,2023-12-12T10:09:04.737000Z,2023-12-12T10:41:59.230000Z,2023-12-12T10:41:59.798000Z,2023-12-12T10:41:59.724334Z,1975.0,C1O1B8DE,721,German,27,Male,White,Germany,Germany,Germany,German,No,Unemployed (and job seeking),
6578315bd4e463f2aaa15582,6516ff4cda6f1e36fd05b1cc,APPROVED,2023-12-12T10:09:47.138000Z,2023-12-12T10:49:41.344000Z,2023-12-12T10:49:41.805000Z,2023-12-12T10:49:41.741301Z,2395.0,C1O1B8DE,111,"Arabic, English, French, German",28,Female,Other,Tunisia,Germany,Tunisia,Arabic,No,Full-Time,
6578317ead6ec9b601291c46,6526b4db08c36959a00e69c4,APPROVED,2023-12-12T10:19:22.279000Z,2023-12-12T10:56:37.755000Z,2023-12-12T10:56:38.594000Z,2023-12-12T10:56:38.536223Z,2236.0,C1O1B8DE,66,"English, German, Turkish",39,Male,White,Turkey,Germany,Turkey,Turkish,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",
657831b88f401503ef2b5954,5f4cde1cbfcaa81fc4dbf57d,APPROVED,2023-12-12T10:11:04.765000Z,2023-12-12T10:38:15.921000Z,2023-12-12T10:38:16.503000Z,2023-12-12T10:38:16.439608Z,1632.0,C1O1B8DE,1225,"English, German",33,Female,White,Germany,Germany,Germany,English,No,Full-Time,
657831bafe8647571813ca6d,6561ff666e87c03638f8fb11,APPROVED,2023-12-12T10:11:06.315000Z,2023-12-12T10:31:05.001000Z,2023-12-12T10:31:05.593000Z,2023-12-12T10:31:05.532799Z,1199.0,C1O1B8DE,22,"English, German",31,Male,White,Germany,Germany,Germany,German,No,Part-Time,
6578321853f9be1696c5d6ca,63cfbea470ab1bba9db30082,APPROVED,2023-12-12T10:12:40.391000Z,2023-12-12T10:29:18.770000Z,2023-12-12T10:29:19.297000Z,2023-12-12T10:29:19.244631Z,999.0,C1O1B8DE,298,"English, German, Vietnamese",21,Male,Asian,Vietnam,Germany,Vietnam,Vietnamese,Yes,Unemployed (and job seeking),
65783370d3fbadc44f2b9ac8,65034478b7a228b2bdfdca5c,APPROVED,2023-12-12T10:19:17.921000Z,2023-12-12T10:57:26.882000Z,2023-12-12T10:57:27.392000Z,2023-12-12T10:57:27.317544Z,2289.0,C1O1B8DE,129,"Greek, German, English",28,Female,White,Greece,Germany,Greece,Greek,No,Full-Time,
6578342727ce6abfc9557b14,6570908f385d595d5df25c68,APPROVED,2023-12-12T10:21:50.821000Z,2023-12-12T11:03:03.252000Z,2023-12-12T11:03:03.844000Z,2023-12-12T11:03:03.775810Z,2473.0,C1O1B8DE,5,"English, Bengali, German, Hindi",53,Female,Asian,Bangladesh,Germany,Bangladesh,Bengali,No,Unemployed (and job seeking),
65783430da7e19f815fbc158,6537d0d238ce085ea079c318,APPROVED,2023-12-12T10:21:42.846000Z,2023-12-12T10:36:45.254000Z,2023-12-12T10:36:45.777000Z,2023-12-12T10:36:45.712584Z,903.0,C1O1B8DE,92,"English, German",34,Female,Mixed,Germany,Germany,Germany,German,No,Full-Time,
65783500bf83fa0f58485452,652156df21a8be7bb4c6f4e7,APPROVED,2023-12-12T10:26:58.789000Z,2023-12-12T11:39:07.013000Z,2023-12-12T11:39:07.688000Z,2023-12-12T11:39:07.620014Z,4329.0,C1O1B8DE,102,"English, French, German",20,Female,White,Germany,Germany,Germany,German,Yes,Unemployed (and job seeking),
657835ff6200890cf6516a87,65426792dac360c44e4908a7,APPROVED,2023-12-12T10:35:07.772000Z,2023-12-12T10:57:04.716000Z,2023-12-12T10:57:05.319000Z,2023-12-12T10:57:05.245044Z,1317.0,C1O1B8DE,56,"German, Turkish",26,Female,White,Germany,Germany,Turkey,German,No,Unemployed (and job seeking),
65783682fc89933383dc33b2,616b2d4ff5ffb8b86c08661b,APPROVED,2023-12-12T10:31:35.229000Z,2023-12-12T10:51:57.055000Z,2023-12-12T10:51:57.691000Z,2023-12-12T10:51:57.632700Z,1222.0,C1O1B8DE,271,"Bengali, English, Hindi, Urdu, German, Malay",25,Male,Asian,Bangladesh,Germany,Bangladesh,Bengali,Yes,Full-Time,
657836d748fce6db38876673,6560e6f734ae18bd18474cc9,APPROVED,2023-12-12T10:33:22.838000Z,2023-12-12T10:51:13.916000Z,2023-12-12T10:51:14.522000Z,2023-12-12T10:51:14.458329Z,1072.0,C1O1B8DE,8,"English, German, Turkish",31,Male,White,Turkey,Germany,Turkey,Turkish,Yes,Full-Time,
65783702719cc1d5f8516a6d,65772f25af9bdd7c3ae47af5,APPROVED,2023-12-12T10:34:21.603000Z,2023-12-12T11:17:01.580000Z,2023-12-12T11:17:02.495000Z,2023-12-12T11:17:02.434816Z,2560.0,C1O1B8DE,0,"English, German",32,Male,White,Germany,Germany,Germany,German,No,Full-Time,
657837e5a1876a8bc65d55fb,65304e8a630196510c79f7df,APPROVED,2023-12-12T10:37:29.025000Z,2023-12-12T11:02:59.051000Z,2023-12-12T11:02:59.734000Z,2023-12-12T11:02:59.672912Z,1531.0,C1O1B8DE,51,"German, Turkish, Kurdish",32,Female,Asian,Turkey,Germany,Germany,Kurdish,No,Full-Time,
657838528428b7b3741c574e,6516d85620c0017a8db27afc,APPROVED,2023-12-12T10:39:17.296000Z,2023-12-12T11:17:36.530000Z,2023-12-12T11:17:37.717000Z,2023-12-12T11:17:37.652590Z,2300.0,C1O1B8DE,73,"English, French, German, Turkish",27,Male,Asian,Germany,Germany,Germany,German,Yes,Part-Time,
657838543e88cb56ed557d86,652d2a7b11d97787933195c6,APPROVED,2023-12-12T10:39:16.459000Z,2023-12-12T11:15:20.881000Z,2023-12-12T11:15:22.227000Z,2023-12-12T11:15:22.165529Z,2165.0,C1O1B8DE,0,"German, Turkish, English",27,Female,White,Germany,Germany,Germany,German,No,Full-Time,
657838c03e88cb56ed557dd1,654a76de0874380f590ca432,APPROVED,2023-12-12T10:41:06.965000Z,2023-12-12T11:03:06.439000Z,2023-12-12T11:03:06.965000Z,2023-12-12T11:03:06.904048Z,1320.0,C1O1B8DE,43,"English, German",32,Male,White,Australia,Germany,Australia,English,No,Full-Time,
657838d0bf83fa0f58485576,63eb514012c203a7a2146262,APPROVED,2023-12-12T10:41:23.256000Z,2023-12-12T10:54:49.891000Z,2023-12-12T10:54:50.458000Z,2023-12-12T10:54:50.371840Z,807.0,C1O1B8DE,294,"English, German",27,Male,White,Germany,Germany,Germany,English,No,Part-Time,
6578390b66e2883a083e41c2,5f5494aa76d6147f7ca89533,APPROVED,2023-12-12T10:43:43.015000Z,2023-12-12T11:19:15.762000Z,2023-12-12T11:19:16.351000Z,2023-12-12T11:19:16.283529Z,2133.0,C1O1B8DE,1739,"English, German",34,Male,White,Germany,Germany,Germany,German,No,Full-Time,
657839341572f88dff9257df,6046b9bf731b0611fe4d0159,APPROVED,2023-12-12T10:43:07.092000Z,2023-12-12T11:07:45.955000Z,2023-12-12T11:07:46.799000Z,2023-12-12T11:07:46.735517Z,1479.0,C1O1B8DE,726,"English, German",26,Male,White,Germany,Germany,Germany,German,Yes,Part-Time,
6578398a574394ae1b961d25,5e5fbff6de7bcc2fc7f396db,APPROVED,2023-12-12T10:44:29.906000Z,2023-12-12T11:08:50.966000Z,2023-12-12T11:08:51.465000Z,2023-12-12T11:08:51.398653Z,1462.0,C1O1B8DE,1842,"English, German, Greek",29,Female,White,Germany,Germany,Germany,German,No,Full-Time,
65783b2f673727ca2d9afe68,5ba00acff337030001de805d,APPROVED,2023-12-12T10:51:31.473000Z,2023-12-12T11:19:06.675000Z,2023-12-12T11:19:07.218000Z,2023-12-12T11:19:07.153585Z,1656.0,C1O1B8DE,353,"German, English",33,Male,White,Germany,Germany,Germany,German,No,Full-Time,
65783c03ec6e28ef961b350c,613b5e02f007dc6d30164fb3,APPROVED,2023-12-12T10:55:03.085000Z,2023-12-12T11:20:33.345000Z,2023-12-12T11:20:33.930000Z,2023-12-12T11:20:33.868109Z,1531.0,C1O1B8DE,210,"English, French, German",26,Male,White,Germany,Germany,Germany,German,No,Full-Time,
657842c7adb4272e9e71e295,5bceffb6a69cc50001d42ea5,APPROVED,2023-12-12T11:23:55.596000Z,2023-12-12T11:38:50.764000Z,2023-12-12T11:38:51.413000Z,2023-12-12T11:38:51.323121Z,896.0,C1O1B8DE,41,"German, English",36,Male,White,Germany,Germany,Germany,German,No,Full-Time,
6578445b1a16c05bdbf20fc8,60fd19bb0d1f1d54adccc4fa,APPROVED,2023-12-12T11:30:37.468000Z,2023-12-12T11:45:57.507000Z,2023-12-12T11:45:58.035000Z,2023-12-12T11:45:57.974670Z,921.0,C1O1B8DE,392,"English, German",20,Female,White,Germany,Germany,Germany,German,No,Unemployed (and job seeking),
65782acc4f053dcd0c6484b9,6544fd5a3d658ffb71a2b192,RETURNED,2023-12-12T09:41:37.772000Z,,,,,,55,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable
